"baseline_design","n_processes","mean_length","beta_true","origin_stage","mean_eta_hat","eta_true","bias_eta","rmse_eta","coverage_eta"
"common",300,12,0.52,"Pre-negotiation",1.17777641583091,1.17991491149056,-0.00213849565965375,0.0532965576014633,0.936666666666667
"common",300,12,0.52,"Renegotiation/Other",1.17758774796356,1.17991491149056,-0.00232716352700258,0.140283701184498,0.956666666666667
"common",300,12,0.52,"Substantive Comprehensive",1.1836008856037,1.17991491149056,0.00368597411313542,0.107316442371214,0.93
"common",300,12,0.52,"Substantive Partial",1.17742889555634,1.17991491149056,-0.00248601593422388,0.0599334988805197,0.92
"common",300,12,0.8,"Ceasefire",1.18055587963516,1.17991491149056,0.000640968144595765,0.0632416660659832,0.95
"common",300,12,0.8,"Implementation",1.17817235036281,1.17991491149056,-0.00174256112775473,0.063461258772765,0.956666666666667
"common",300,12,0.8,"Pre-negotiation",1.18425696744349,1.17991491149056,0.00434205595293146,0.0561892360529187,0.943333333333333
"common",300,12,0.8,"Renegotiation/Other",1.19208049725508,1.17991491149056,0.0121655857645196,0.14706329821404,0.946666666666667
"common",300,12,0.8,"Substantive Comprehensive",1.18293094255719,1.17991491149056,0.00301603106662397,0.101200437023553,0.936666666666667
"common",300,12,0.8,"Substantive Partial",1.18180556198387,1.17991491149056,0.00189065049331213,0.0573824322069269,0.953333333333333
"common",300,20,0,"Ceasefire",1.18681352009949,1.17991491149056,0.00689860860892678,0.0427877169945934,0.98
"common",300,20,0,"Implementation",1.18517190775705,1.17991491149056,0.00525699626648424,0.0446217892979804,0.956666666666667
"common",300,20,0,"Pre-negotiation",1.18143094043403,1.17991491149056,0.00151602894347191,0.0397123781161172,0.956666666666667
"common",300,20,0,"Renegotiation/Other",1.19310607790926,1.17991491149056,0.0131911664186962,0.106636772934913,0.936666666666667
"common",300,20,0,"Substantive Comprehensive",1.18113651391658,1.17991491149056,0.00122160242602316,0.0704377346750875,0.966666666666667
"common",300,20,0,"Substantive Partial",1.18576792905847,1.17991491149056,0.00585301756790941,0.0415900434392777,0.953333333333333
"common",300,20,0.25,"Ceasefire",1.18158213166347,1.17991491149056,0.00166722017290381,0.045842362844729,0.936666666666667
"common",300,20,0.25,"Implementation",1.18142041610926,1.17991491149056,0.00150550461869887,0.0435079357717415,0.966666666666667
"common",300,20,0.25,"Pre-negotiation",1.1817852769349,1.17991491149056,0.00187036544434095,0.0418501482816836,0.956666666666667
"common",300,20,0.25,"Renegotiation/Other",1.19362227507423,1.17991491149056,0.0137073635836718,0.116109259273643,0.93
"common",300,20,0.25,"Substantive Comprehensive",1.18775931066682,1.17991491149056,0.0078443991762559,0.0742111504894061,0.936666666666667
"common",300,20,0.25,"Substantive Partial",1.17963198480563,1.17991491149056,-0.000282926684926683,0.0417520154891645,0.94
"common",300,20,0.52,"Ceasefire",1.17762287342086,1.17991491149056,-0.00229203806969795,0.0446687603256646,0.956666666666667
"common",300,20,0.52,"Implementation",1.17810235902585,1.17991491149056,-0.00181255246471151,0.0474752084496052,0.946666666666667
"common",300,20,0.52,"Pre-negotiation",1.17929246560494,1.17991491149056,-0.000622445885623586,0.0427002406882233,0.956666666666667
"common",300,20,0.52,"Renegotiation/Other",1.18137510908491,1.17991491149056,0.00146019759435037,0.101305429136137,0.95
"common",300,20,0.52,"Substantive Comprehensive",1.18141187980706,1.17991491149056,0.00149696831649979,0.0723391137567502,0.963333333333333
"common",300,20,0.52,"Substantive Partial",1.18399254864168,1.17991491149056,0.00407763715111953,0.0438645101030039,0.946666666666667
"common",300,20,0.8,"Ceasefire",1.18195668192387,1.17991491149056,0.00204177043330745,0.0485686369896122,0.95
"common",300,20,0.8,"Implementation",1.17991111335726,1.17991491149056,-3.79813330413443e-06,0.0492280383214015,0.963333333333333
"common",300,20,0.8,"Pre-negotiation",1.18119536538945,1.17991491149056,0.00128045389888794,0.0428692815932829,0.96
"common",300,20,0.8,"Renegotiation/Other",1.1824331683334,1.17991491149056,0.00251825684283689,0.112262510533224,0.946666666666667
"common",300,20,0.8,"Substantive Comprehensive",1.18369206789136,1.17991491149056,0.00377715640080113,0.0787419000454576,0.946666666666667
"common",300,20,0.8,"Substantive Partial",1.18218237678578,1.17991491149056,0.00226746529521806,0.047585014683019,0.943333333333333
"common",500,8,0,"Ceasefire",1.1844170154092,1.17991491149056,0.00450210391863806,0.0544990889029213,0.93
"common",500,8,0,"Implementation",1.18765450143199,1.17991491149056,0.0077395899414237,0.0558766337831261,0.96
"common",500,8,0,"Pre-negotiation",1.18831405551698,1.17991491149056,0.0083991440264158,0.0467535703697921,0.953333333333333
"common",500,8,0,"Renegotiation/Other",1.20292409125679,1.17991491149056,0.0230091797662314,0.130376857868917,0.963333333333333
"common",500,8,0,"Substantive Comprehensive",1.18737532219034,1.17991491149056,0.00746041069977583,0.0913528823253566,0.933333333333333
"common",500,8,0,"Substantive Partial",1.18534947176297,1.17991491149056,0.00543456027240352,0.0481887616891496,0.96
"common",500,8,0.25,"Ceasefire",1.18084721219676,1.17991491149056,0.00093230070619842,0.0519951466731572,0.98
"common",500,8,0.25,"Implementation",1.1803818274325,1.17991491149056,0.000466915941934273,0.0596232106329274,0.946666666666667
"common",500,8,0.25,"Pre-negotiation",1.18458934835145,1.17991491149056,0.00467443686088614,0.0513191815973511,0.94
"common",500,8,0.25,"Renegotiation/Other",1.19714465349319,1.17991491149056,0.0172297420026322,0.139285442717816,0.936666666666667
"common",500,8,0.25,"Substantive Comprehensive",1.18769897198455,1.17991491149056,0.00778406049398356,0.0919892636360443,0.95
